"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-11","62","70","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-12","62","75","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-13","65","77","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-14","64","78","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-15","61","72","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-16","61","74","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-17","62","67","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-18","59","68","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-19","61","68","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-20","58","67","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-21","58","68","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-22","57","65","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-23","56","63","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-24","58","66","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-25","64","76","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-26","64","77","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-27","66","69","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-28","58","67","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-29","57","66","47"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-30","55","65","46"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-01","56","63","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-02","56","63","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-03","55","60","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-04","55","60","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-05","56","65","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-06","57","62","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-07","56","63","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-08","57","65","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-09","56","56","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-10","51","60","45"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-11","51","62","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-12","54","66","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-13","55","59","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-14","54","57","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-15","52","62","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-16","54","60","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-17","53","59","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-18","53","58","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-19","51","58","45"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-20","53","60","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-21","53","57","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-22","51","62","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-23","55","62","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-24","56","63","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-25","55","63","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-26","55","58","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-27","55","58","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-28","56","67","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-29","56","60","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-30","50","52","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-10-31","52","57","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-01","52","56","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-02","53","56","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-03","54","65","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-04","53","63","42"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-05","57","60","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-06","53","60","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-07","56","66","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-08","58","70","49"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-09","58","64","51"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-10","54","62","45"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-11","57","61","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-12","57","58","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-13","51","54","47"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-14","53","57","50"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-15","51","54","46"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-16","46","50","43"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-17","46","51","41"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-18","46","54","39"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-19","51","57","48"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-20","53","57","47"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-21","49","53","44"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-11-22","47","53","43"
